"Lon","Lat","CORNER","stand","order","burn.regime","burn.n","burn.last","elevation","aspect","tpi","slope"
-88.0495878584061,41.8154305167254,"O-105","A",9,"none",0,NA,752.23223013529,122.533870325983,0.00310214903296494,0.216731472329081
-88.0484890433409,41.8154579901426,"O-108","A",10,"none",0,NA,747.306606639515,140.41641216955,0.00863436909465047,0.265683175766719
-88.0440543471919,41.8147450732324,"L-120","A",11,"none",0,NA,757.753411319391,-37.2125594776795,0.00130125216352261,0.236380395402745
-88.0382272708346,41.8157158299018,"O-136","B",1,"none",0,NA,706.212573639164,39.5938541206774,-0.00865668320074314,0.222845508032148
-88.0397539369073,41.8170507232659,"T-132","B",2,"none",0,NA,712.868028229358,38.3917131413776,-0.00211279376659518,0.230843818911945
-88.0389355683269,41.8151485429661,"M-134","B",3,"none",0,NA,727.630129615402,20.3100720743302,-0.00584538572246693,0.288771451982535
-88.0390087855653,41.8167949717472,"S-134","B",4,"none",0,NA,710.591984835538,53.8828893473377,0.00389510315734071,0.201869578417455
-88.0390331151431,41.8173438953762,"U-134","B",5,"none",0,NA,698.832705678664,33.16041340917,-0.00497798367711892,0.187892351709523
-88.0385934684169,41.8157068201419,"O-135","B",6,"none",0,NA,715.621831299223,46.6901514690509,0.01103505025195,0.357631325577187
-88.0386177940924,41.8162557439519,"Q-135","B",7,"none",0,NA,711.145077494832,52.1618275283262,0.00640212715446175,0.15439949743955
-88.0398269476931,41.81869715046,"Z-132","B",8,"none",0,NA,683.454858693769,53.112611028254,0.00272992041803175,0.128089712151722
-88.0383122899541,41.8176363768591,"V-136","B",9,"none",0,NA,687.589605604777,41.9061648992568,-0.000763848591925825,0.182678966027258
-88.0390451669965,41.8176180138419,"V-134","B",10,"none",0,NA,695.508058823996,53.5860783575443,-0.00144204240504319,0.217876630309347
-88.0404986325304,41.8173071548601,"U-130","B",11,"none",0,NA,718.758616739579,-50.4398033552848,0.00692813323034846,0.16843379700703
-88.0397905557269,41.8178741087366,"W-132","B",12,"none",0,NA,695.847814901965,25.0569750006976,-0.00125533737157966,0.362633121013565
-88.0457892089497,41.820744358781,"HH-116","C",1,"some",1,2012,719.173212224787,127.106617402539,-0.00310689752752131,0.243819644150601
-88.0453976796281,41.8202048100115,"FF-117","C",2,"some",1,2012,712.016776444076,-151.093918506157,0.00148480898374087,0.271892656612923
-88.0465713700582,41.8218234499373,"LL-114","C",3,"some",1,2012,713.769686730079,-14.4914305816694,-0.00185331955454708,0.21942085223745
-88.0465467453645,41.8212745275666,"JJ-114","C",4,"some",1,2012,725.755988193915,25.3099280106602,0.00324450236995046,0.16327659869291
-88.0472552593701,41.8207075329853,"HH-112","C",5,"some",1,2012,730.787701594365,-138.469824680945,0.00197684300410283,0.112180644430721
-88.0461554342419,41.8207353250069,"HH-115","C",6,"some",1,2012,725.749218888267,91.6435269676628,0.00440544449395732,0.176713238322083
-88.0470238064153,41.8237346121952,"SS-113","C",7,"some",1,2012,698.350302297701,40.66318520777,0.00191610692962398,0.103567097486179
-88.0465834547748,41.8220975674956,"MM-114","C",8,"some",1,2012,707.589586233164,-32.0935683224881,0.00332270040140524,0.28974713256454
-88.0475845324559,41.8198751190613,"EE-111","C",9,"some",1,2012,730.927339226683,-47.9933235352839,0.00697709364412672,0.152165563059159
-88.0470114902504,41.8234604941854,"RR-113","C",10,"some",1,2012,702.000162167842,48.1688433124663,0.00037517362427943,0.224085535888453
-88.0472306288802,41.8201586111094,"FF-112","C",11,"some",1,2012,732.219835511248,-12.4450256014276,0.00127755081226461,0.0109720747994433
-88.0461064208437,41.8196378234501,"DD-115","C",12,"some",1,2012,709.745356373973,128.418214109455,0.00670930936739042,0.262868470561723
-88.0450681452241,41.8210372249202,"II-118","C",13,"some",1,2012,717.371633806586,80.8295923172325,0.00403648488478793,0.354596907278549
-88.0413671861842,41.8120660173926,"B-127","D",1,"lots",14,2015,782.129611796718,69.4774508725669,0.00413372901178175,0.112706556658863
-88.0421122923222,41.8123217536867,"C-125","D",2,"lots",14,2015,784.580269693745,-92.3259614755481,0.000267078592571115,0.0492080509208652
-88.0417213017458,41.8117825360326,"A-126","D",3,"lots",14,2015,776.889277972897,-52.8556442407591,-0.00218046117253976,0.242850728623611
-88.0428451078629,41.8123033662193,"C-123","D",4,"lots",14,2015,782.751610715798,-21.4295944908684,-0.000203277686653014,0.0507546790392223
-88.0443476485983,41.8130896177371,"F-119","D",5,"lots",12,2015,771.313743517237,-55.210730690827,0.000118737081879551,0.0437504099442219
-88.0450563165587,41.8125222956403,"D-117","D",6,"lots",11,2015,770.77790525378,-51.5165286613932,-0.000580374553391707,0.08059832472248
-88.0469129900972,41.8130250231005,"F-112","D",7,"lots",12,2015,767.935242995717,-127.853554241953,0.000465081408132915,0.145511674835154
-88.0439445620012,41.8122752622749,"C-120","D",8,"lots",12,2015,773.980664220776,-102.150114352896,-0.00195177718151717,0.0964990912344796
-88.0421245865331,41.8125962155323,"D-125","D",9,"lots",14,2015,785.521084353928,-47.2062963154356,0.00239481902928744,0.0921725153210391
-88.0447140544939,41.8130805909326,"F-118","D",10,"lots",12,2015,770.171259816898,-57.6869793873409,-0.000830309841667508,0.0270580181664427
-88.0432484062445,41.8131173849797,"F-122","D",11,"lots",14,2015,778.8010512513,-94.1764610814279,9.49710994571834e-05,0.184928114028275
-88.0413792508575,41.8123401323248,"C-127","D",12,"lots",14,2015,784.089545498791,122.224171979973,0.00313414785425319,0.0536858467348683
-88.0410005495938,41.8120753779358,"B-128","D",13,"lots",14,2015,777.48742665905,114.744590374633,-0.000712015096423695,0.225727583916902
-88.0428574028661,41.8125778281893,"D-123","D",14,"lots",14,2015,781.332914476271,-57.2353451152891,-0.000628174125374138,0.0664740676012833
-88.0409884918581,41.81180091635,"A-128","D",15,"lots",14,2015,772.220103177157,147.785828923899,0.00145825472745028,0.279268895474335
