Plot,Shrub Cover (%),Shrub Ht (m),Herb Cover (%),Ground Cover (%),X_COORD,Y_COORD,Management Unit,Burn_YEAR,Thinning_Year,Notes,,,,,,Thinning_Year
F122,30,1,65,CW-12 TB-5 LI-83,579098.9375,1874577,South Forty,annually from 1986-2003,,,,,,,,
F129,0,0,20,CW-5 TB-5 LI-80 BA-10,579798.1875,1874602.875,South Forty,annually from 1986-2003,,,,,,,,2007-08
FF112,10,0.75,65,"LI-85, CW-5, TB-10",578004.875,1877139.125,woodland,,,,,,,,,2007-08
FF114,40,0.75,60,"LI-80, CW-15, TB-5",578204.625,1877146.5,woodland,,,,,,,,,
FF117,65,0.75,55,"LI-95, TB-3, CW-2",578504.4375,1877157.625,woodland,,,Plot part of canopy thinning project,,,,,,
FF123,25,1.75,2,"LI-78, BA-2, CW-15, TB-5",579103.75,1877179.75,Lacey bottoms,,,,,,,,,
FF91,50,1,0,CW-3 TB-3 LI-94,575907.1875,1877061.75,ravine woods,,,,,,,,,
G109,1,0.1,96,"LI-95, CW-2, TB-3",0,0,South Forty,annually from 1986-2003,,,,,,,,
G126,5,0.75,95,CW-3 TB-4 LI-40 BA-53,579495,1874691.75,South Forty,annually from 1986-2003,,,,,,,,2009-10
G132,5,0.75,1,"LI-90, CW-6, TB-4",580094.25,1874713.875,East woods.Puffer land,burned once in 1990,,,,,,,,2005-06
G137,100,1.25,0,CW-2 TB-13 LI-85,580593.8125,1874732.375,East woods.Puffer land,,,edge of road,,,,,,2005-06
GG113,20,1,40,"LI-85, CW-5, TB-10",0,0,woodland,,,250 degrees/30m from bench,,,,,,
GG121,5,0.75,55,"LI-90, TB-5, CW-5",578900.375,1877272.375,woodland,,,,,,,,,
GG122,2,1,6,"LI-90, TB-5, CW-5",579000.125,1877276,woodland,,,,,,,,,
GG92,50,1.25,2,CW-4 TB-4 LI-92,576003.4375,1877165.5,ravine woods,,,,,,,,,
GG94,7,1,55,CW-6 TB-4 LI-90,576203.0625,1877172.75,Triangle,2006,,,,,,,,
H115,20,1.75,98,TB-3 BA-60 LI-35 CW-2,578392.4375,1874751,South Forty,annually from 1986-2003,,,,,,,,2005-06
HH105,20,1,90,"LI-30, BA-60, TB-5, CW-5",577298.3125,1877313.375,Heritage woodland,every 1-2 years from 1996-2003,2007-08,,,,,,,
HH106,30,0.5,80,"LI-30, BA-50, TB-5, CW-15",0,0,Heritage woodland,every 1-2 years from 1996-2003,2007-08,,,,,,,
HH110,30,0.5,70,"LI-60, BA-20, TB-5, CW-15",577797.6875,1877331.75,woodland,2004,2007-08,,,,,,,
HH112,20,0.5,50,"LI-90, CW-3, TB-7",0,0,woodland,,,Near lowland/depression 40 degrees/20m,,,,,,
HH115,15,0.75,70,"LI-90, BA-7, CW-3",578297.25,1877350.25,woodland,,,,,,,,,
HH116,15,1.25,60,"LI-80, TB-5, CW-15",578397.0625,1877353.875,woodland,,,,,,,,,
HH79,35,1,15,CW-7 TB-5 LI-88,574701.125,1877217.375,ravine woods,,,,,,,,,
HH85,95,1,78,CW-2 TB-3 LI-95,575300.375,1877239.5,ravine woods,,,,,,,,,
HH87,20,1.75,45,CW-15 TB-2 LI-83,575500.125,1877246.875,ravine woods,,,,,,,,,2009-10
HH90,15,0.75,2,CW-30 TB-3 LI-66 RO-1,575799.8125,1877258,Triangle,2007,,,,,,,,2009-10
HH93,15,0.75,35,CW-3 TB-2 LI-95,576099.625,1877269.125,Triangle,2006,,,,,,,,2009-10
HH96,98,1.75,3,CW-2 TB-3 LI-95,576399.1875,1877280.125,Triangle,every 1-2 yrs from 1996-2003,1996-97,,,,,,,
I107,15,1.75,2,"LI-55, CW-3, TB-10, RO-7, BA-25",577589.6875,1874821.5,East Woods.unburned,,,,,,,,,
I109,70,1.25,45,"LI-93, CW-3, TB-4",0,0,East Woods.unburned,2004,,,,,,,,
I116,3,0.2,50,"LI-91, CW-3, TB-6",578488.6875,1874854.625,South Forty,annually from 1986-2003,,,,,,,,2007-08
I117,4,0.25,85,CW-4 TB-3LI-55 BA-38,578588.5625,1874858.25,South Forty,annually from 1986-2003,,,,,,,,
I124,7,0.2,55,RO-2 CW-3 TB-4 BA-5 LI-86,579287.8125,1874884.375,South Forty,annually from 1986-2003,,,,,,,,
I133,3,0.25,1,LI-92 CW-5 TB-3,580186.9375,1874917.625,East woods.Puffer land,burned once in 1990,,,,,,,,
II105,10,0.75,85,"LI-50, BA-40, CW-5, TB-5",577294.625,1877413.25,Heritage woodland,every 1-2 years from 1996-2003,2007-08,North of Dreisilker Lake,,,,,,
II118,40,0.3,50,"LI-95, TB-4, CW-1",578593.25,1877461.25,woodland,,,,,,,,,
II122,35,1.5,65,"LI-88, CW-5, TB-5, RO-2",578992.75,1877476,Lacey bottoms,,,,,,,,,
II81,60,0.25,40,TB-2 LI-97 RO-1,574897.25,1877324.625,ravine woods,,,,,,,,,
II87,7,0.5,3,CW-2 TB-5 LI-92 RO-1,575496.5,1877346.75,Triangle,2007,,,,,,,,
II90,12,0.75,1,CW-6 TB-6 LI-88,575796.1875,1877357.875,Triangle,2007,,,,,,,,
J110,20,0.75,5,"LI-93, CW-2, TB-5",577885.625,1874932.5,East Woods.unburned,2004,,,,,,,,2009-10
J121,3,0.2,55,CW-4 TB-5 BA-7 LI-84,578984.5,1874973.25,South Forty,annually from 1986-2003,,,,,,,,
J133,4,0.2,2,CW-5 TB-3 LI-90 BA-1 RO-1,580183.25,1875017.625,East woods.Puffer land,burned once in 1990,,,,,,,,
J135,20,0.33,3,RO-5 BA-7 CW-5 TB-4 LI-79,580382.9375,1875025,East woods.Puffer land,,,,,,,,,
JJ102,30,1.25,70,"LI-35, BA-50, TB-10, CW-5",576991.25,1877502.125,Heritage woodland,every 1-2 years from 1996-2003,2007-08,,,,,,,
JJ105,30,1,80,"LI-80, BA-15, TB-5",0,0,Heritage woodland,every 1-2 years from 1996-2003,2007-08,"N of II105, S of trail",,,,,,
JJ111,25,1,70,"LI-60, BA-25, TB-15, CW-5",577890.3125,1877535.375,woodland,2004,2007-08,,,,,,,
JJ114,30,1.25,15,"LI-87, BA-3, CW-5, TB-5",578189.9375,1877546.375,woodland,,,,,,,,,
JJ115,35,2,15,"LI-80, TB-5, CW-15",578289.875,1877550.125,woodland,,,,,,,,,
JJ121,35,2,85,"LI-90, 3-TB, 7-CW",578889.3125,1877572.25,Lacey bottoms,,,Plot on edge of field,,,,,,
JJ87,8,1.5,2,RO-2 CW-10 TB-5 LI-83,575492.8125,1877446.75,Triangle,2007,,,,,,,,
K107,18,1.66,3,"LI-75, BA-10, CW-5, TB-10",577582.375,1875021.375,East Woods.unburned,,,,,,,,,
K109,55,1.25,5,"LI-85, CW-10, TB-5",0,0,East Woods.unburned,2004,,,,,,,,
K115,60,1.5,40,"LI-86, CW-4, TB-10",578381.5,1875050.875,East Woods.unburned,,,,,,,,,
